Associated Gene Name,gene_length_bp,FANTOM_Total_CAGE_TPM,Cytosol_TPM,PB_TPM,Pub_Log2FC,NEW_Log2FC_TPM,Cap_index,DepMap_Common_Essential,DepMap_Strongly_Selective,DepMap_Flag_Status,DepMap_Dependent_Cell_Lines
MIER3,5763,5.391785953,235.5866988,665.6408178,2.333155684,1.498446253,0.022886631,0,0,not flagged,8
FAM13C,6750,0.829505531,18.26773422,51.15489827,2.331931222,1.485067148,0.045408233,0,0,not flagged,0
GNAQ,6738,2.281140211,130.6184319,363.0694062,2.331350994,1.474816162,0.017464152,0,1,strongly selective,346
SMURF2,6961,7.672926163,92.01486488,261.5330127,2.331042757,1.506952596,0.083387898,0,1,strongly selective,53
TSHZ2,12582,1.036881914,10.92369678,31.02747024,2.321049604,1.505229702,0.094920423,0,0,not flagged,0
LRRTM2,6095,0.311064574,23.25272485,62.04115886,2.315918853,1.415438059,0.013377554,0,0,not flagged,0
TCEANC,5441,1.140570105,17.39295681,48.07143133,2.304638857,1.466147399,0.06557655,0,0,not flagged,0
ZBTB5,4627,2.073763828,68.34085901,189.4929272,2.295902469,1.471188759,0.030344421,0,0,not flagged,3
KCNQ5,7600,4.665968613,49.83790789,137.4935753,2.289497932,1.46386427,0.093622883,0,1,strongly selective,9
ARHGAP20,7125,2.903269359,37.8638893,103.2612751,2.288356329,1.44716354,0.07667647,0,0,not flagged,0
CCNT1,7265,38.98675997,448.4423057,1228.697014,2.283640666,1.454114482,0.086938185,0,1,strongly selective,131
LPL,4382,1.244258297,18.07444277,49.5479714,2.28275851,1.454367988,0.068840756,0,0,not flagged,0
OTX2,2470,0,10.34049109,28.00455296,2.282485368,1.436477252,0,0,1,strongly selective,7
ZMYM5,3713,2.384828402,66.58988435,178.3908043,2.280145603,1.421530542,0.035813674,0,0,not flagged,0
RABGAP1,8181,7.465549781,143.5961547,393.4247336,2.277445511,1.454006747,0.0519899,0,0,not flagged,0
CXXC4,5819,1.762699254,18.68235864,50.61992362,2.272101044,1.437541685,0.094351002,0,0,not flagged,0
P2RY1,3106,3.525398508,84.36413826,224.824011,2.271406635,1.413987523,0.04178788,0,0,not flagged,0
NMD3,4869,25.81835966,300.0034546,801.4188134,2.269628021,1.417547177,0.086060208,1,0,common essential,1179
ZNF432,5985,2.073763828,59.34326906,155.5486932,2.268843844,1.390059622,0.034945224,0,0,not flagged,1
ARHGAP35,11245,1.036881914,110.4583336,297.3419826,2.267746199,1.428538823,0.009387086,0,0,not flagged,0
HSDL2,3455,26.12942423,412.578837,1115.165829,2.267670294,1.434494503,0.063331955,0,0,not flagged,4
PTPDC1,6301,3.421710316,51.90829388,139.9777959,2.266758403,1.430986179,0.065918374,0,0,not flagged,1
TRERF1,7732,0.622129148,13.07496063,35.8071237,2.260937931,1.452739902,0.047581722,0,1,strongly selective,15
PHF10,5388,10.99094829,142.4906581,387.9762287,2.260548663,1.445036864,0.077134518,0,0,not flagged,24
KDM6A,6805,17.10855158,239.2241571,648.0324261,2.260356897,1.437664879,0.071516822,0,1,strongly selective,10
CNOT6L,9367,0.933193723,64.1954753,172.4670261,2.256747093,1.425635971,0.014536752,0,0,not flagged,27
KIF4A,4723,8.91718446,107.0422247,288.4979461,2.256746786,1.430296277,0.083305298,0,0,not flagged,760
FAM214A,7755,0.311064574,33.22048717,84.32870801,2.253393971,1.343687478,0.009363637,,,not flagged,
FBXO34,4133,14.62003499,211.230512,569.3470467,2.253218801,1.430447114,0.069213651,0,0,not flagged,1
DTL,4892,54.53998867,557.6879029,1493.394683,2.24582588,1.421049409,0.097796614,1,0,common essential,1186
PARP11,6194,3.318022125,33.38897705,88.99870124,2.245782906,1.41414246,0.099374776,0,1,strongly selective,10
GORAB,3773,3.006957551,90.21947422,240.5688734,2.24473289,1.414839272,0.033329362,0,0,not flagged,0
SLC4A4,8361,0.933193723,15.38035236,41.33338998,2.244050891,1.425630426,0.060674405,0,0,not flagged,0
SASH1,8598,5.599162335,76.19898755,202.9248358,2.242610029,1.412983485,0.073480797,0,0,not flagged,0
RSBN1,6819,6.739732441,112.8875192,298.7246385,2.241330088,1.403850744,0.059703079,0,1,strongly selective,2
RMND5A,6804,4.769656804,136.2809669,359.2800771,2.24060982,1.398459145,0.034998701,0,1,strongly selective,435
SLC9A6,4710,3.629086699,101.4709943,269.5432344,2.238374141,1.40936066,0.035764769,0,0,not flagged,0
MMP16,12115,0.207376383,22.85761269,60.10804597,2.236500796,1.394492357,0.00907253,0,1,strongly selective,2
RAP1A,5733,9.331937226,240.7494147,641.3571081,2.234399734,1.413558154,0.038762035,0,0,not flagged,70
SLC25A30,6794,3.318022125,33.51365791,88.47356661,2.234253543,1.400229963,0.099005072,0,0,not flagged,1
FBXL20,3261,8.502431695,578.5790623,1528.737366,2.226185583,1.401739058,0.014695367,0,0,not flagged,1
ZNF823,2459,8.502431695,102.1094221,252.8249647,2.217985583,1.30793871,0.083267847,0,1,strongly selective,1
ZNF391,4834,3.421710316,45.12565178,114.9276769,2.217478382,1.348512449,0.07582628,0,0,not flagged,0
HDX,6895,1.762699254,26.43758194,67.21621144,2.217314065,1.345888023,0.066673997,0,0,not flagged,0
ACVR1C,9195,0.829505531,10.53778706,26.01946233,2.213031413,1.30320516,0.078717242,0,0,not flagged,2
TRIM2,9333,3.525398508,82.73183473,216.1893409,2.213025615,1.385673271,0.042612357,0,0,not flagged,0
ZBTB26,4645,4.251215847,135.7102501,353.5070623,2.210867999,1.381143854,0.03132568,0,0,not flagged,0
NHLRC2,11223,9.746689991,111.1824616,291.8935071,2.206614811,1.392432562,0.087663916,0,0,not flagged,826
PUM2,6858,15.03478775,412.1061564,1064.121018,2.193969967,1.368552861,0.036482803,0,0,not flagged,31
SOCS5,5034,2.281140211,47.35154144,120.2158291,2.193593943,1.343958934,0.048174571,0,0,not flagged,72
MASTL,3631,13.68684126,216.0156012,552.1673864,2.193358011,1.353929509,0.063360429,1,0,common essential,1159
