Associated Gene Name,gene_length_bp,FANTOM_Total_CAGE_TPM,Cytosol_TPM,PB_TPM,RNA enrichment in P-body (log2) (Fold change=sorted P-bodies/pre-sorted fraction),NEW_Log2FC_TPM,Cap_index,DepMap_Common_Essential,DepMap_Strongly_Selective,DepMap_Flag_Status,DepMap_Dependent_Cell_Lines
PDCD10,3275,29.34375816542098,468.53483150173753,969.3137256763598,1.87086250448037,1.0487914688810094,0.0626287656594687,0,0,not flagged,23
SP1,8083,14.308970412820113,207.19047049957393,428.3278123480807,1.87607890628994,1.0477217605214093,0.0690619137951595,0,0,not flagged,195
TBC1D8B,9503,1.7626992537532,34.751231047508206,71.50677395811958,1.87694059650629,1.0408024844153108,0.0507233614643298,0,0,not flagged,0
MBTD1,7201,3.525398507506409,51.665227089544025,107.70500120728282,1.88386927855698,1.0596744557400946,0.068235420728846,0,0,not flagged,295
PLEKHF2,3137,3.421710316109156,38.46818792387363,80.06435344874468,1.88495333485101,1.057299385155592,0.0889490901645933,0,0,not flagged,8
PRICKLE2,8726,0.7258173397807299,12.006056959460077,25.315511796662623,1.88552613971575,1.0756278676110658,0.0604542642294252,0,0,not flagged,3
ARSJ,5024,1.6590110623559549,25.109826310370792,52.45548079124753,1.89118028172896,1.0625420373646706,0.0660701926747599,0,0,not flagged,0
NCOA1,8633,0.829505531177978,49.815389908853746,105.01599204793013,1.89554424416641,1.0757934131682838,0.0166515916606435,0,0,not flagged,4
HLF,6602,0.622129148383483,10.105123574865573,20.99921711024533,1.90338377402777,1.054508457086377,0.0615657140434088,0,0,not flagged,2
SOCS7,2794,5.702850526848599,73.98103652404198,157.3956136964248,1.90689496318652,1.089064579451858,0.0770853017853476,0,0,not flagged,3
ZC3H11A,9700,6.013915101040337,142.81836589494213,299.5546553561783,1.90812837050295,1.0685848861262446,0.0421088356763877,0,1,strongly selective,27
MCM8,3920,4.769656804273367,106.443503674919,221.6105616160276,1.90961207945965,1.057868305034268,0.0448092804126404,0,1,strongly selective,8
LPAR3,3543,0.72581733978073,14.87066542932156,31.16062075051821,1.91061180874767,1.0667478440366511,0.0488086658415153,0,0,not flagged,0
CDYL,4531,12.8573357332586,131.95767234311384,284.28622865784763,1.91836027016633,1.107210400087906,0.09743530258572,0,0,not flagged,45
PPP1R21,3990,2.281140210739437,36.075854627882464,76.79270967865284,1.920164463179,1.089723788832162,0.063231771894778,0,0,not flagged,9
SPIN1,4914,11.61307743649168,303.89572046782195,655.6420244944032,1.92347257433311,1.109306502339911,0.0382140209760582,0,1,strongly selective,2
MSL2,5095,4.873344995670613,79.07737576423496,169.9796334710139,1.92358573842395,1.1039274391673803,0.0616275508458985,0,0,not flagged,22
GTF3C4,9043,6.32497967523208,269.9412902497853,582.9290101716424,1.92473158348695,1.110645837503848,0.0234309455562703,1,0,common essential,830
LIN9,4442,20.3228855138605,270.36148544778825,563.0182160888293,1.92521062618145,1.0582642178470705,0.0751693070490442,0,0,not flagged,84
RBM12,6702,1.970075636547696,196.1810819770982,424.25749928906424,1.93011754944195,1.1127147020428614,0.0100421285105241,1,0,common essential,215
